,Age,Finances,Gender,History,Internet usage,Loneliness,Mathematics,Movies,Music,Parents Advice,Pets,Siblings,Spiders,Techno,Village - town
0,20.0,3.0,female,1.0,few hours a day,3.0,3.0,5.0,5.0,Often,4.0,1.0,1.0,1.0,village
1,19.0,3.0,female,1.0,few hours a day,2.0,5.0,5.0,4.0,Rarely,5.0,2.0,1.0,1.0,city
2,20.0,2.0,female,1.0,few hours a day,5.0,5.0,5.0,5.0,Sometimes,5.0,2.0,1.0,1.0,city
3,22.0,2.0,female,4.0,most of the day,5.0,4.0,5.0,5.0,Rarely,1.0,1.0,5.0,2.0,city
4,20.0,4.0,female,3.0,few hours a day,3.0,2.0,5.0,5.0,Sometimes,1.0,1.0,1.0,2.0,village
5,20.0,2.0,male,5.0,few hours a day,2.0,2.0,5.0,5.0,Sometimes,2.0,1.0,1.0,1.0,city
6,20.0,4.0,female,3.0,less than an hour a day,3.0,1.0,4.0,5.0,Often,5.0,1.0,1.0,5.0,village
7,19.0,3.0,male,5.0,few hours a day,2.0,1.0,5.0,5.0,Sometimes,5.0,1.0,1.0,3.0,city
8,18.0,2.0,female,3.0,few hours a day,4.0,1.0,5.0,5.0,Often,1.0,1.0,5.0,1.0,city
9,19.0,4.0,female,3.0,few hours a day,2.0,3.0,5.0,5.0,Sometimes,2.0,3.0,3.0,1.0,city
10,19.0,2.0,female,3.0,less than an hour a day,2.0,2.0,5.0,5.0,Often,5.0,2.0,2.0,4.0,city
11,17.0,2.0,female,2.0,few hours a day,4.0,1.0,5.0,5.0,Often,1.0,1.0,5.0,1.0,city
12,24.0,4.0,female,4.0,few hours a day,5.0,1.0,5.0,5.0,Often,2.0,10.0,1.0,1.0,city
13,19.0,3.0,female,2.0,few hours a day,2.0,1.0,5.0,5.0,Sometimes,5.0,1.0,3.0,1.0,city
14,22.0,5.0,female,2.0,most of the day,2.0,1.0,4.0,5.0,Often,5.0,1.0,2.0,1.0,city
15,18.0,3.0,male,5.0,few hours a day,4.0,3.0,5.0,1.0,Often,1.0,0.0,1.0,1.0,city
16,19.0,3.0,female,1.0,few hours a day,2.0,1.0,5.0,5.0,Sometimes,5.0,2.0,5.0,4.0,city
17,20.0,1.0,female,3.0,few hours a day,4.0,1.0,5.0,5.0,Never,5.0,1.0,4.0,1.0,village
18,18.0,4.0,male,3.0,few hours a day,4.0,5.0,5.0,5.0,Sometimes,4.0,2.0,1.0,4.0,city
19,18.0,2.0,male,2.0,few hours a day,2.0,3.0,3.0,5.0,Rarely,1.0,1.0,4.0,3.0,city
20,20.0,2.0,male,5.0,few hours a day,2.0,2.0,5.0,5.0,Sometimes,3.0,1.0,2.0,3.0,city
21,24.0,2.0,male,4.0,few hours a day,4.0,3.0,5.0,5.0,Sometimes,5.0,1.0,1.0,1.0,city
22,22.0,5.0,female,3.0,few hours a day,3.0,1.0,5.0,5.0,Sometimes,5.0,1.0,5.0,3.0,city
23,20.0,2.0,female,2.0,few hours a day,3.0,2.0,5.0,5.0,Rarely,5.0,3.0,3.0,1.0,city
24,19.0,3.0,female,4.0,few hours a day,4.0,2.0,5.0,5.0,Often,3.0,1.0,5.0,3.0,city
25,20.0,2.0,female,2.0,few hours a day,2.0,3.0,5.0,5.0,Often,3.0,1.0,5.0,2.0,city
26,22.0,5.0,female,3.0,few hours a day,4.0,2.0,5.0,5.0,Always,5.0,1.0,1.0,2.0,city
27,19.0,3.0,female,2.0,few hours a day,3.0,1.0,5.0,4.0,Often,5.0,1.0,5.0,4.0,city
28,20.0,3.0,male,5.0,few hours a day,3.0,1.0,5.0,5.0,Sometimes,3.0,2.0,4.0,3.0,village
29,19.0,4.0,female,5.0,few hours a day,3.0,2.0,5.0,5.0,Sometimes,2.0,2.0,5.0,3.0,village
30,25.0,2.0,male,2.0,few hours a day,2.0,1.0,5.0,4.0,Sometimes,3.0,1.0,5.0,3.0,city
31,22.0,4.0,female,4.0,less than an hour a day,2.0,2.0,4.0,4.0,Sometimes,1.0,1.0,2.0,1.0,city
32,20.0,1.0,female,4.0,few hours a day,1.0,1.0,5.0,5.0,Sometimes,5.0,4.0,5.0,3.0,city
33,27.0,2.0,female,5.0,few hours a day,3.0,2.0,4.0,5.0,Often,5.0,1.0,4.0,1.0,city
34,20.0,3.0,male,4.0,few hours a day,2.0,3.0,5.0,5.0,Rarely,1.0,5.0,2.0,1.0,city
35,19.0,3.0,female,1.0,few hours a day,3.0,1.0,5.0,5.0,Sometimes,5.0,1.0,4.0,1.0,village
36,18.0,5.0,female,4.0,few hours a day,2.0,3.0,5.0,5.0,Always,5.0,1.0,5.0,1.0,city
37,21.0,3.0,male,3.0,few hours a day,3.0,3.0,4.0,5.0,Sometimes,3.0,1.0,,1.0,city
38,23.0,5.0,female,3.0,few hours a day,4.0,3.0,5.0,5.0,Often,5.0,1.0,5.0,4.0,village
39,21.0,3.0,female,4.0,few hours a day,4.0,1.0,4.0,5.0,Sometimes,5.0,1.0,5.0,2.0,city
40,26.0,3.0,female,2.0,few hours a day,3.0,2.0,5.0,4.0,Never,2.0,1.0,5.0,3.0,city
41,20.0,3.0,male,5.0,few hours a day,1.0,5.0,3.0,5.0,Sometimes,3.0,3.0,1.0,5.0,city
42,19.0,5.0,female,2.0,few hours a day,3.0,5.0,5.0,5.0,Rarely,5.0,0.0,5.0,3.0,city
43,20.0,3.0,female,2.0,most of the day,3.0,1.0,5.0,5.0,Sometimes,5.0,1.0,5.0,3.0,city
44,25.0,4.0,female,4.0,few hours a day,4.0,3.0,5.0,4.0,Sometimes,5.0,1.0,5.0,4.0,village
45,27.0,4.0,male,5.0,most of the day,4.0,5.0,5.0,5.0,Never,4.0,1.0,5.0,3.0,
46,21.0,3.0,female,4.0,few hours a day,2.0,2.0,5.0,5.0,Often,4.0,1.0,1.0,2.0,city
47,19.0,3.0,female,2.0,few hours a day,2.0,2.0,5.0,5.0,Sometimes,5.0,1.0,1.0,2.0,city
48,20.0,4.0,female,2.0,few hours a day,5.0,2.0,3.0,5.0,Sometimes,2.0,1.0,2.0,2.0,village
49,20.0,4.0,female,2.0,few hours a day,4.0,1.0,5.0,5.0,Sometimes,5.0,1.0,5.0,2.0,city
50,19.0,4.0,female,3.0,few hours a day,3.0,4.0,5.0,4.0,Sometimes,5.0,2.0,2.0,1.0,city
51,19.0,5.0,female,2.0,less than an hour a day,2.0,5.0,5.0,5.0,Often,4.0,1.0,5.0,3.0,city
52,21.0,1.0,female,5.0,few hours a day,3.0,3.0,5.0,5.0,Sometimes,3.0,2.0,5.0,2.0,village
53,18.0,3.0,female,3.0,less than an hour a day,3.0,1.0,5.0,5.0,Often,1.0,4.0,5.0,2.0,city
54,21.0,3.0,female,5.0,few hours a day,3.0,1.0,5.0,5.0,Sometimes,1.0,2.0,3.0,4.0,city
55,23.0,5.0,female,4.0,few hours a day,3.0,2.0,5.0,5.0,Rarely,5.0,1.0,5.0,5.0,village
56,20.0,3.0,female,3.0,few hours a day,5.0,4.0,5.0,5.0,Sometimes,3.0,2.0,3.0,1.0,city
58,19.0,5.0,male,3.0,few hours a day,5.0,3.0,5.0,5.0,Often,3.0,1.0,1.0,3.0,village
59,22.0,1.0,male,4.0,few hours a day,3.0,1.0,5.0,5.0,Sometimes,1.0,1.0,2.0,4.0,city
60,23.0,5.0,male,4.0,most of the day,4.0,4.0,5.0,5.0,Sometimes,1.0,1.0,2.0,1.0,city
61,23.0,2.0,male,3.0,few hours a day,4.0,3.0,5.0,5.0,Often,5.0,1.0,3.0,4.0,city
62,23.0,3.0,male,5.0,few hours a day,1.0,4.0,5.0,5.0,Often,1.0,2.0,5.0,5.0,city
63,22.0,3.0,male,4.0,few hours a day,2.0,,5.0,5.0,Sometimes,3.0,2.0,,5.0,city
64,18.0,1.0,female,1.0,most of the day,1.0,1.0,5.0,5.0,Often,5.0,0.0,5.0,2.0,city
65,17.0,1.0,male,5.0,few hours a day,3.0,2.0,5.0,4.0,Sometimes,3.0,1.0,1.0,4.0,city
66,20.0,3.0,male,3.0,less than an hour a day,3.0,5.0,4.0,4.0,Sometimes,1.0,1.0,1.0,5.0,village
67,24.0,3.0,female,2.0,few hours a day,2.0,4.0,5.0,3.0,Rarely,4.0,0.0,1.0,1.0,village
68,18.0,1.0,female,2.0,few hours a day,4.0,5.0,5.0,5.0,Rarely,4.0,1.0,4.0,4.0,village
69,20.0,1.0,female,2.0,most of the day,3.0,1.0,5.0,5.0,Often,4.0,3.0,1.0,1.0,city
71,20.0,4.0,male,5.0,few hours a day,3.0,2.0,4.0,4.0,Sometimes,5.0,1.0,3.0,3.0,city
72,28.0,3.0,female,3.0,few hours a day,5.0,1.0,5.0,5.0,Sometimes,2.0,1.0,5.0,1.0,city
73,21.0,3.0,male,4.0,few hours a day,3.0,1.0,5.0,5.0,Often,5.0,1.0,3.0,3.0,city
74,22.0,5.0,male,4.0,few hours a day,3.0,1.0,5.0,5.0,Often,3.0,1.0,3.0,2.0,city
75,20.0,3.0,male,5.0,few hours a day,2.0,2.0,4.0,5.0,Sometimes,4.0,1.0,1.0,1.0,village
76,18.0,2.0,male,2.0,few hours a day,2.0,1.0,4.0,4.0,Often,3.0,1.0,1.0,1.0,city
77,21.0,1.0,female,4.0,few hours a day,1.0,1.0,5.0,5.0,Often,1.0,1.0,5.0,5.0,city
78,24.0,4.0,female,2.0,few hours a day,2.0,3.0,5.0,4.0,Often,3.0,1.0,3.0,4.0,village
79,21.0,4.0,female,4.0,few hours a day,3.0,2.0,5.0,5.0,Often,5.0,2.0,5.0,4.0,city
80,19.0,3.0,female,5.0,few hours a day,3.0,1.0,5.0,5.0,Sometimes,5.0,1.0,3.0,3.0,city
81,22.0,3.0,male,3.0,few hours a day,3.0,1.0,5.0,5.0,Sometimes,2.0,1.0,1.0,3.0,city
82,18.0,3.0,female,4.0,few hours a day,5.0,1.0,5.0,5.0,Sometimes,5.0,1.0,3.0,1.0,city
83,22.0,3.0,female,,few hours a day,2.0,1.0,5.0,5.0,Rarely,5.0,2.0,5.0,5.0,city
84,19.0,1.0,female,5.0,few hours a day,3.0,1.0,5.0,5.0,Often,5.0,0.0,3.0,1.0,city
85,22.0,2.0,male,4.0,most of the day,3.0,5.0,5.0,5.0,Rarely,1.0,2.0,2.0,4.0,city
86,24.0,2.0,male,5.0,few hours a day,4.0,4.0,5.0,4.0,Often,2.0,3.0,2.0,3.0,city
87,18.0,2.0,female,5.0,few hours a day,1.0,,5.0,5.0,Sometimes,3.0,3.0,3.0,2.0,village
88,21.0,1.0,female,5.0,few hours a day,5.0,1.0,5.0,5.0,Always,5.0,0.0,5.0,5.0,city
89,22.0,4.0,female,3.0,few hours a day,3.0,1.0,5.0,5.0,Often,2.0,2.0,2.0,1.0,village
90,19.0,1.0,female,1.0,most of the day,3.0,1.0,4.0,4.0,Sometimes,3.0,3.0,5.0,1.0,village
91,18.0,5.0,female,1.0,few hours a day,2.0,1.0,5.0,5.0,Often,1.0,4.0,5.0,1.0,village
92,19.0,4.0,female,4.0,few hours a day,4.0,3.0,5.0,5.0,Often,3.0,0.0,1.0,1.0,city
93,24.0,4.0,male,2.0,few hours a day,3.0,4.0,4.0,5.0,Rarely,3.0,2.0,2.0,1.0,village
94,21.0,3.0,male,3.0,most of the day,2.0,1.0,5.0,5.0,Never,3.0,1.0,2.0,4.0,city
95,21.0,1.0,male,4.0,few hours a day,4.0,1.0,5.0,5.0,Rarely,4.0,1.0,4.0,2.0,city
96,19.0,1.0,male,1.0,few hours a day,2.0,1.0,2.0,5.0,Rarely,1.0,1.0,4.0,4.0,city
97,19.0,2.0,male,3.0,most of the day,5.0,4.0,5.0,5.0,Sometimes,5.0,1.0,2.0,2.0,village
98,22.0,3.0,male,1.0,few hours a day,5.0,1.0,3.0,3.0,Never,1.0,1.0,5.0,3.0,village
99,18.0,4.0,female,3.0,less than an hour a day,3.0,5.0,3.0,5.0,Often,4.0,1.0,5.0,1.0,city
100,21.0,4.0,female,3.0,few hours a day,3.0,2.0,5.0,5.0,Often,2.0,1.0,4.0,2.0,city
101,18.0,2.0,male,5.0,few hours a day,3.0,1.0,4.0,5.0,Sometimes,3.0,1.0,5.0,1.0,village
102,20.0,3.0,female,5.0,few hours a day,3.0,4.0,5.0,5.0,Sometimes,1.0,0.0,1.0,1.0,city
103,22.0,4.0,male,5.0,few hours a day,2.0,2.0,5.0,5.0,Always,1.0,0.0,4.0,4.0,city
104,21.0,2.0,male,5.0,few hours a day,1.0,2.0,4.0,4.0,Often,2.0,1.0,1.0,3.0,village
105,24.0,4.0,male,4.0,few hours a day,2.0,1.0,4.0,5.0,Sometimes,4.0,1.0,1.0,1.0,village
106,19.0,4.0,male,4.0,few hours a day,4.0,3.0,5.0,5.0,Sometimes,1.0,1.0,2.0,3.0,city
107,18.0,1.0,female,1.0,less than an hour a day,1.0,1.0,3.0,5.0,Always,4.0,1.0,1.0,1.0,city
108,17.0,1.0,female,1.0,few hours a day,5.0,3.0,5.0,4.0,Rarely,3.0,1.0,5.0,2.0,city
109,18.0,4.0,male,3.0,few hours a day,4.0,2.0,5.0,5.0,Sometimes,1.0,0.0,1.0,1.0,city
110,21.0,4.0,male,3.0,few hours a day,3.0,2.0,4.0,5.0,Sometimes,3.0,1.0,4.0,4.0,city
111,22.0,2.0,female,3.0,most of the day,5.0,1.0,4.0,5.0,Sometimes,1.0,1.0,5.0,4.0,village
112,20.0,4.0,female,2.0,less than an hour a day,3.0,2.0,5.0,5.0,Sometimes,3.0,1.0,4.0,4.0,city
113,21.0,2.0,female,2.0,few hours a day,2.0,1.0,4.0,3.0,Often,5.0,1.0,3.0,5.0,village
114,19.0,4.0,female,5.0,less than an hour a day,2.0,1.0,5.0,5.0,Often,5.0,1.0,5.0,1.0,city
115,17.0,3.0,female,2.0,few hours a day,5.0,1.0,5.0,5.0,Sometimes,3.0,0.0,5.0,3.0,city
116,21.0,3.0,female,2.0,few hours a day,5.0,1.0,4.0,5.0,Often,4.0,1.0,5.0,1.0,city
117,18.0,3.0,female,2.0,few hours a day,4.0,5.0,4.0,5.0,Often,5.0,3.0,3.0,1.0,village
118,23.0,4.0,male,3.0,few hours a day,3.0,4.0,5.0,5.0,Sometimes,4.0,1.0,2.0,1.0,city
119,16.0,5.0,female,4.0,few hours a day,2.0,4.0,3.0,4.0,Often,3.0,1.0,2.0,3.0,village
120,23.0,4.0,male,5.0,most of the day,2.0,5.0,3.0,5.0,Rarely,5.0,0.0,1.0,3.0,city
121,21.0,2.0,male,1.0,few hours a day,2.0,4.0,4.0,4.0,Rarely,3.0,2.0,1.0,3.0,city
122,23.0,4.0,female,5.0,few hours a day,2.0,1.0,4.0,5.0,Sometimes,4.0,0.0,2.0,1.0,city
123,20.0,4.0,female,2.0,few hours a day,3.0,1.0,3.0,5.0,Sometimes,4.0,0.0,1.0,1.0,village
124,20.0,3.0,male,4.0,few hours a day,2.0,1.0,4.0,4.0,Sometimes,4.0,4.0,1.0,1.0,city
125,20.0,3.0,female,4.0,few hours a day,3.0,2.0,5.0,5.0,Often,5.0,1.0,4.0,2.0,city
126,20.0,4.0,female,5.0,few hours a day,4.0,2.0,3.0,3.0,Sometimes,1.0,2.0,1.0,1.0,village
127,19.0,2.0,female,4.0,most of the day,3.0,3.0,5.0,4.0,Rarely,2.0,1.0,2.0,3.0,city
128,15.0,5.0,female,4.0,few hours a day,5.0,3.0,5.0,5.0,Sometimes,5.0,3.0,1.0,5.0,city
129,20.0,3.0,female,4.0,less than an hour a day,2.0,1.0,5.0,5.0,Sometimes,5.0,1.0,2.0,1.0,village
130,19.0,4.0,female,5.0,few hours a day,1.0,2.0,5.0,4.0,Often,1.0,1.0,4.0,3.0,village
131,18.0,4.0,male,1.0,few hours a day,3.0,1.0,5.0,5.0,Rarely,3.0,2.0,2.0,3.0,village
132,15.0,5.0,female,1.0,most of the day,5.0,4.0,5.0,5.0,Rarely,5.0,1.0,5.0,1.0,village
133,20.0,2.0,female,4.0,less than an hour a day,2.0,1.0,5.0,5.0,Often,4.0,2.0,4.0,1.0,city
134,16.0,1.0,female,3.0,few hours a day,5.0,1.0,5.0,5.0,Never,4.0,1.0,5.0,4.0,village
135,18.0,4.0,male,5.0,few hours a day,3.0,3.0,4.0,5.0,Sometimes,5.0,1.0,5.0,1.0,village
136,21.0,3.0,male,4.0,few hours a day,4.0,2.0,5.0,5.0,Often,3.0,1.0,5.0,1.0,village
139,19.0,2.0,female,1.0,few hours a day,4.0,2.0,5.0,5.0,Often,5.0,1.0,3.0,3.0,village
140,19.0,3.0,female,5.0,few hours a day,3.0,2.0,5.0,5.0,Often,5.0,3.0,2.0,3.0,city
141,19.0,1.0,female,3.0,few hours a day,3.0,5.0,3.0,3.0,Sometimes,5.0,1.0,1.0,2.0,city
142,,2.0,male,1.0,most of the day,3.0,2.0,4.0,5.0,Rarely,1.0,,4.0,2.0,city
143,20.0,2.0,female,,most of the day,3.0,1.0,,5.0,Sometimes,5.0,1.0,5.0,3.0,city
144,21.0,5.0,male,3.0,few hours a day,4.0,1.0,5.0,5.0,Never,3.0,1.0,1.0,4.0,city
145,19.0,2.0,female,2.0,few hours a day,3.0,1.0,4.0,1.0,Sometimes,2.0,1.0,5.0,3.0,village
146,21.0,5.0,male,5.0,few hours a day,3.0,1.0,5.0,5.0,Rarely,4.0,1.0,1.0,,city
147,18.0,4.0,male,4.0,most of the day,4.0,5.0,5.0,5.0,Often,3.0,2.0,2.0,1.0,city
148,20.0,4.0,male,3.0,few hours a day,2.0,4.0,4.0,4.0,Often,1.0,3.0,2.0,3.0,village
149,19.0,3.0,male,2.0,few hours a day,3.0,5.0,3.0,2.0,Sometimes,1.0,5.0,1.0,1.0,city
150,22.0,3.0,female,2.0,few hours a day,2.0,3.0,5.0,5.0,Sometimes,1.0,1.0,5.0,1.0,city
151,20.0,4.0,male,4.0,few hours a day,3.0,2.0,5.0,5.0,Sometimes,3.0,1.0,3.0,2.0,city
152,25.0,2.0,male,5.0,few hours a day,5.0,2.0,5.0,5.0,Often,4.0,2.0,2.0,2.0,city
153,21.0,3.0,female,5.0,few hours a day,4.0,1.0,3.0,2.0,Often,1.0,0.0,5.0,3.0,city
154,24.0,4.0,male,5.0,few hours a day,2.0,3.0,4.0,5.0,Sometimes,3.0,1.0,5.0,1.0,city
155,19.0,5.0,female,4.0,few hours a day,5.0,3.0,4.0,5.0,Always,4.0,1.0,2.0,2.0,city
156,25.0,4.0,male,5.0,few hours a day,5.0,1.0,5.0,5.0,Sometimes,4.0,1.0,1.0,1.0,city
157,26.0,4.0,male,3.0,most of the day,2.0,2.0,5.0,5.0,Often,2.0,2.0,2.0,1.0,village
158,15.0,2.0,female,1.0,few hours a day,5.0,3.0,5.0,5.0,Sometimes,5.0,2.0,5.0,5.0,village
159,20.0,3.0,male,4.0,few hours a day,2.0,3.0,5.0,5.0,Sometimes,5.0,1.0,2.0,3.0,city
160,19.0,3.0,male,4.0,few hours a day,3.0,5.0,5.0,5.0,Rarely,1.0,1.0,1.0,3.0,city
161,20.0,3.0,female,2.0,few hours a day,5.0,1.0,5.0,5.0,Sometimes,5.0,2.0,4.0,3.0,city
162,21.0,4.0,male,5.0,few hours a day,3.0,1.0,4.0,4.0,Rarely,2.0,0.0,2.0,1.0,city
163,22.0,3.0,male,5.0,most of the day,4.0,1.0,4.0,5.0,Often,1.0,1.0,4.0,5.0,city
164,20.0,2.0,male,3.0,most of the day,3.0,1.0,5.0,5.0,Often,4.0,1.0,2.0,3.0,village
165,20.0,3.0,female,3.0,few hours a day,1.0,2.0,5.0,5.0,Always,2.0,1.0,4.0,2.0,city
166,21.0,5.0,female,2.0,few hours a day,3.0,2.0,4.0,5.0,Often,1.0,1.0,4.0,1.0,city
167,21.0,4.0,male,3.0,few hours a day,4.0,1.0,3.0,3.0,Rarely,4.0,1.0,4.0,3.0,village
168,20.0,3.0,female,3.0,most of the day,5.0,1.0,5.0,5.0,Sometimes,1.0,0.0,1.0,1.0,city
169,19.0,5.0,female,4.0,few hours a day,4.0,1.0,5.0,5.0,Sometimes,4.0,2.0,5.0,1.0,village
170,19.0,5.0,male,5.0,few hours a day,4.0,5.0,3.0,4.0,Often,4.0,1.0,3.0,1.0,city
171,20.0,3.0,male,4.0,few hours a day,4.0,1.0,5.0,5.0,Sometimes,1.0,0.0,1.0,1.0,city
172,22.0,4.0,male,5.0,most of the day,5.0,3.0,3.0,5.0,Often,3.0,1.0,1.0,1.0,village
173,21.0,3.0,male,3.0,most of the day,4.0,4.0,5.0,5.0,Often,5.0,1.0,2.0,5.0,city
174,26.0,3.0,male,5.0,few hours a day,3.0,1.0,5.0,5.0,Sometimes,3.0,0.0,5.0,1.0,city
175,17.0,5.0,female,1.0,few hours a day,3.0,1.0,4.0,5.0,Sometimes,5.0,2.0,3.0,2.0,city
176,22.0,4.0,male,1.0,less than an hour a day,2.0,5.0,5.0,5.0,Often,4.0,2.0,1.0,2.0,village
177,26.0,3.0,male,3.0,few hours a day,3.0,1.0,5.0,5.0,Sometimes,5.0,2.0,1.0,1.0,city
178,20.0,4.0,female,4.0,few hours a day,3.0,3.0,3.0,4.0,Sometimes,3.0,1.0,2.0,1.0,city
179,22.0,5.0,male,5.0,few hours a day,2.0,2.0,4.0,4.0,Sometimes,4.0,1.0,5.0,4.0,city
180,21.0,4.0,male,4.0,few hours a day,3.0,4.0,4.0,4.0,Rarely,1.0,0.0,1.0,1.0,city
181,23.0,3.0,male,4.0,few hours a day,2.0,2.0,4.0,5.0,Often,2.0,0.0,1.0,3.0,city
182,19.0,2.0,female,3.0,few hours a day,2.0,2.0,5.0,5.0,Often,5.0,0.0,5.0,1.0,city
183,20.0,4.0,male,5.0,few hours a day,2.0,2.0,5.0,5.0,Rarely,5.0,1.0,3.0,4.0,city
184,21.0,2.0,female,3.0,few hours a day,5.0,1.0,5.0,5.0,Sometimes,2.0,0.0,2.0,1.0,city
185,19.0,3.0,female,2.0,less than an hour a day,2.0,5.0,5.0,3.0,Sometimes,5.0,2.0,3.0,3.0,city
186,29.0,3.0,female,3.0,less than an hour a day,2.0,1.0,4.0,4.0,Sometimes,4.0,2.0,5.0,2.0,city
187,22.0,2.0,female,5.0,few hours a day,5.0,1.0,4.0,5.0,Sometimes,2.0,1.0,1.0,5.0,city
188,19.0,5.0,female,4.0,less than an hour a day,2.0,1.0,2.0,3.0,Often,,2.0,2.0,1.0,village
189,17.0,4.0,female,4.0,few hours a day,4.0,3.0,5.0,5.0,Sometimes,1.0,1.0,3.0,1.0,city
190,16.0,4.0,female,3.0,few hours a day,4.0,5.0,4.0,4.0,Often,2.0,1.0,5.0,2.0,city
191,29.0,1.0,female,3.0,less than an hour a day,2.0,1.0,4.0,5.0,Always,2.0,2.0,1.0,1.0,village
192,18.0,5.0,female,3.0,few hours a day,5.0,1.0,5.0,5.0,Sometimes,5.0,2.0,5.0,4.0,city
193,26.0,3.0,male,3.0,few hours a day,3.0,1.0,5.0,5.0,Sometimes,5.0,2.0,1.0,1.0,city
194,19.0,3.0,male,2.0,few hours a day,3.0,1.0,5.0,5.0,Often,1.0,1.0,3.0,1.0,city
195,19.0,2.0,male,3.0,few hours a day,3.0,1.0,4.0,5.0,Sometimes,1.0,1.0,5.0,1.0,city
196,20.0,4.0,female,4.0,few hours a day,2.0,1.0,5.0,5.0,Sometimes,1.0,0.0,4.0,3.0,city
197,22.0,3.0,female,2.0,few hours a day,3.0,1.0,5.0,5.0,Often,4.0,0.0,4.0,1.0,city
198,20.0,1.0,male,4.0,few hours a day,1.0,1.0,3.0,5.0,Rarely,4.0,1.0,5.0,2.0,village
199,21.0,1.0,male,2.0,less than an hour a day,3.0,1.0,4.0,5.0,Rarely,3.0,1.0,2.0,4.0,village
200,21.0,4.0,male,3.0,most of the day,5.0,1.0,5.0,4.0,Rarely,5.0,2.0,1.0,2.0,city
201,18.0,2.0,,4.0,few hours a day,3.0,1.0,5.0,5.0,Often,5.0,0.0,1.0,2.0,village
202,15.0,3.0,male,2.0,few hours a day,3.0,1.0,5.0,5.0,Rarely,4.0,0.0,4.0,4.0,city
203,19.0,3.0,female,2.0,few hours a day,3.0,3.0,5.0,5.0,Sometimes,3.0,1.0,2.0,3.0,city
